details_competition_type;date;start_altitude;finish_altitude;lenght;vertical_drop;coursesetter;coursesetter_nat;number_of_gates;start_time;total_rank;bib;name;country;total_time;season;birthdate;age;gender;skis;boots;poles;run;rank;run_time;location;location_country;wpc;wpc_fake;total_wcp_nat_last
Slalom;2021-12-29;880;680;;200;Prevuznak Andrej;CZE;61.0;13:00;;;POHJOLAINEN Rosa;FIN;;2021_2022;2003-07-20;19.0;Female;Atomic;Atomic;;2;30.0;;LIENZ;AUT;;1.0;4.0
Slalom;2023-01-04;942;735;;207;Meynet Thierry;SUI;67.0;18:45;11.0;6.0;WINTERS Luke;USA;1:50.41;2022_2023;1997-04-02;25.0;Male;Rossignol;Rossignol;;2;8.0;54.09;GARMISCH-PARTENKIRCHEN;GER;24.0;32.0;1376.0
Slalom;2022-12-11;2053;1850;;203;Momo Corrado;ESP;61.0;09:30;;23.0;AERNI Luca;SUI;;2022_2023;1993-03-27;29.0;Male;Fischer;Fischer;;1;53.0;;VAL D'ISERE;FRA;;;5705.0
Slalom;2022-01-11;936;748;;188;Gamper Manuel;CAN;55.0;20:45;;;LACHEB Kenza;FRA;;2021_2022;1998-07-13;24.0;Female;Salomon;Salomon;;2;52.0;;SCHLADMING;AUT;;;850.0
Slalom;2021-11-20;438;258;;180;Harzl Georg;GER;64.0;11:30;;32.0;GUEST Charlie;GBR;;2021_2022;1993-12-30;29.0;Female;Fischer;Fischer;;1;50.0;55.00;LEVI;FIN;;;115.0
Slalom;2022-02-26;942;735;;207;Schwarzacher Paul;AUT;71.0;12:30;;;SCHMIDIGER Reto;SUI;;2021_2022;1992-04-21;30.0;Male;Nordica;Nordica;;2;42.0;;GARMISCH-PARTENKIRCHEN;GER;;;5329.0
Slalom;2022-11-20;438;258;;180;Dumoulin Pierre-luc;CAN;68.0;11:15;2.0;1.0;HOLDENER Wendy;SUI;1:52.49;2022_2023;1993-05-12;29.0;Female;Head;Head;Leki;1;11.0;57.07;LEVI;FIN;80.0;24.0;4705.0
Slalom;2020-12-29;1230;1020;;210;PoljŠak Sergej;SLO;64.0;15:15;;70.0;LJUTIC Zrinka;CRO;;2020_2021;2004-01-26;19.0;Female;Rossignol;Rossignol;;1;34.0;54.66;SEMMERING;AUT;;;5.0
Slalom;2022-03-12;597;396;;201;Poljsak Sergej;SLO;66.0;10:30;6.0;15.0;TRUPPE Katharina;AUT;1:46.89;2021_2022;1996-01-15;27.0;Female;Fischer;Fischer;Leki;1;14.0;51.80;ARE;SWE;40.0;18.0;3953.0
Slalom;2021-12-29;880;680;;200;Prevuznak Andrej;CZE;61.0;13:00;26.0;2.0;BOSTROEM MUSSENER Moa;SWE;1:46.29;2021_2022;;;;;;;2;26.0;52.88;LIENZ;AUT;5.0;5.0;0.0
Giant Slalom;2021-10-23;3040;2670;;370;Day Mike;USA;48.0;10:00;4.0;14.0;LIENSBERGER Katharina;AUT;2:08.61;2021_2022;1997-04-01;25.0;Female;Rossignol;Rossignol;Leki;1;4.0;1:03.43;SOELDEN;AUT;50.0;50.0;3953.0
Slalom;2022-12-22;1733;1550;;183;Fuess Robert;AUT;61.0;17:45;25.0;60.0;TAYLOR Laurie;GBR;1:40.35;2022_2023;1996-02-10;27.0;Male;Head;Head;;1;26.0;50.98;MADONNA DI CAMPIGLIO;ITA;6.0;5.0;314.0
Slalom;2023-01-08;1513;1302;;211;Deldio Simone;ITA;68.0;13:30;;25.0;FOREJTEK Filip;CZE;;2022_2023;;;;;;;2;55.0;;ADELBODEN;SUI;;;0.0
Giant Slalom;2021-12-19;1868;1420;;448;Page Kevin;FRA;53.0;13:30;;;RASCHNER Dominik;AUT;;2021_2022;1994-08-23;28.0;Male;Rossignol;Rossignol;Leki;2;39.0;;ALTA BADIA;ITA;;;5258.0
Slalom;2021-01-26;958;744;;214;Theolier Jacques;ITA;65.0;20:45;;;RODES Istok;CRO;;2020_2021;1996-01-27;27.0;Male;VOELKL;Dalbello;;2;63.0;;SCHLADMING;AUT;;;550.0
Slalom;2020-12-21;1610;1420;;190;Meynet Thierry;SUI;64.0;13:00;;30.0;NOEL Clement;FRA;;2020_2021;1997-05-03;25.0;Male;Dynastar;Lange;Leki;2;34.0;;ALTA BADIA;ITA;;;4197.0
Giant Slalom;2021-12-19;1868;1420;;448;Page Kevin;FRA;53.0;13:30;;;ISHII Tomoya;JPN;;2021_2022;;;;;;;2;51.0;;ALTA BADIA;ITA;;;0.0
Giant Slalom;2023-03-10;736;396;;340;Pichler Charly;AUT;43.0;10:00;;52.0;PYKALAINEN Erika;FIN;;2022_2023;;;;;;;1;53.0;;ARE;SWE;;;0.0
Giant Slalom;2021-01-17;1229;843;;386;Harzl Georg;GER;47.0;09:15;9.0;6.0;ROBINSON Alice;NZL;2:20.38;2020_2021;2001-12-01;21.0;Female;Salomon;Salomon;;1;9.0;1:11.95;KRANJSKA GORA;SLO;29.0;29.0;310.0
Slalom;2022-02-27;942;735;;207;Costazza Stefano;ITA;68.0;09:10;7.0;49.0;SALARICH Joaquim;ESP;1:53.26;2021_2022;1994-01-02;29.0;Male;Rossignol;Rossignol;;1;4.0;54.31;GARMISCH-PARTENKIRCHEN;GER;36.0;50.0;0.0
Giant Slalom;2022-01-25;1580;1206;;374;Day Mike;USA;45.0;13:30;20.0;19.0;MOERZINGER Elisa;AUT;2:05.60;2021_2022;1997-05-06;25.0;Female;Rossignol;Rossignol;;2;23.0;1:04.00;KRONPLATZ;ITA;11.0;8.0;3953.0
Giant Slalom;2023-01-25;1580;1206;;374;Simoncelli Daniele;ITA;49.0;13:30;13.0;16.0;LOEVBLOM Hilma;SWE;2:05.95;2022_2023;2000-08-16;22.0;Female;Head;Head;;2;12.0;1:03.32;KRONPLATZ;ITA;20.0;22.0;1171.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;;69.0;ALEKHIN Nikita;RUS;;2020_2021;;;;;;;1;129.0;;SOELDEN;AUT;;;0.0
Slalom;2022-02-27;942;735;;207;Glasse Davies Tristan;GBR;69.0;12:30;;;SZOLLOS Barnabas;ISR;;2021_2022;1998-12-13;24.0;Male;Kaestle;;;2;57.0;;GARMISCH-PARTENKIRCHEN;GER;;;0.0
Giant Slalom;2022-12-10;2300;1850;;450;Pircher Michael;AUT;48.0;12:30;19.0;18.0;MCLAUGHLIN Brian;USA;2:07.71;2022_2023;1993-06-24;29.0;Male;VOELKL;Dalbello;;2;26.0;1:03.62;VAL D'ISERE;FRA;12.0;5.0;1376.0
Giant Slalom;2020-12-12;2175;1815;;360;Knight Chris;NZL;48.0;09:30;2.0;11.0;HECTOR Sara;SWE;2:19.49;2020_2021;1992-09-04;30.0;Female;Head;Head;Leki;1;4.0;1:09.56;COURCHEVEL;FRA;80.0;50.0;921.0
Slalom;2022-01-09;1033;838;;195;Pini Mauro;SVK;59.0;09:30;;7.0;SHIFFRIN Mikaela;USA;;2021_2022;1995-03-13;27.0;Female;Atomic;Atomic;Leki;1;3.0;51.74;KRANJSKA GORA;SLO;;60.0;2154.0
Super G;2021-12-11;2640;2040;2196.0;600;Rodseth Thomas;NOR;40.0;10:30;24.0;30.0;ROBINSON Alice;NZL;1:22.84;2021_2022;2001-12-01;21.0;Female;Salomon;Salomon;;1;24.0;1:22.84;ST. MORITZ;SUI;7.0;7.0;326.0
Slalom;2023-01-29;944;757;;187;Lenz Markus;GER;57.0;12:15;5.0;26.0;POPOVIC Leona;CRO;1:31.75;2022_2023;1997-11-13;25.0;Female;Voelkl;Dalbello;Leki;2;4.0;45.86;SPINDLERUV MLYN;CZE;45.0;50.0;196.0
Giant Slalom;2020-12-12;2175;1815;;360;Zoechling Hannes;AUT;48.0;12:30;;;ROBNIK Tina;SLO;;2020_2021;1991-07-30;31.0;Female;Voelkl;Dalbello;;2;42.0;;COURCHEVEL;FRA;;;787.0
Giant Slalom;2021-02-27;2060;1610;;450;Suman Marko;CRO;52.0;11:00;;50.0;STEEN OLSEN Alexander;NOR;;2020_2021;2001-08-18;21.0;Male;Rossignol;Rossignol;;1;52.0;;BANSKO;BUL;;;4399.0
Giant Slalom;2022-12-28;1335;1020;;315;Gamper Manuel;SWE;43.0;13:00;4.0;28.0;BRIGNONE Federica;ITA;2:04.01;2022_2023;1990-07-14;32.0;Female;Rossignol;Rossignol;;2;4.0;1:03.77;SEMMERING;AUT;50.0;50.0;3911.0
Slalom;2022-12-11;2053;1850;;203;Masdal Ola;NOR;59.0;12:30;;11.0;NEF Tanguy;SUI;;2022_2023;1996-11-19;26.0;Male;Head;Head;;2;51.0;;VAL D'ISERE;FRA;;;5705.0
Giant Slalom;2021-12-21;2175;1815;;360;Orlowski Marcin;POL;47.0;13:00;;;GRAY Cassidy;CAN;;2021_2022;2001-01-25;22.0;Female;Atomic;Atomic;;2;36.0;;COURCHEVEL;FRA;;;712.0
Slalom;2020-12-29;1230;1020;;210;Wicki Denis;SUI;63.0;18:30;;2.0;HOLTMANN Mina Fuerst;NOR;;2020_2021;1995-07-17;27.0;Female;Atomic;Atomic;;2;34.0;;SEMMERING;AUT;;;1245.0
Giant Slalom;2020-12-05;2070;1730;;340;Suman Marko;CRO;48.0;10:30;;28.0;WINDINGSTAD Rasmus;NOR;;2020_2021;1993-10-31;29.0;Male;Stoeckli;;;1;40.0;1:07.82;SANTA CATERINA;ITA;;;4399.0
Giant Slalom;2020-12-07;2070;1730;;340;Rottensteiner Michael;NOR;46.0;13:00;;;FELLER Manuel;AUT;;2020_2021;1992-10-13;30.0;Male;Atomic;Atomic;Leki;2;41.0;;SANTA CATERINA;ITA;;;3879.0
Slalom;2023-03-11;597;396;;201;Poljsak Sergej;SLO;67.0;10:30;;43.0;BOSTROEM MUSSENER Moa;SWE;;2022_2023;;;;;;;1;48.0;;ARE;SWE;;;0.0
Super G;2021-03-18;2160;1560;1867.0;600;Pelkey Randy;USA;40.0;11:00;17.0;17.0;;FRA;;2020_2021;;;;;;;1;0.0;;LENZERHEIDE;SUI;14.0;;0.0
Giant Slalom;2021-01-17;1229;843;;386;De Florian Paolo;ITA;46.0;12:15;14.0;15.0;LIENSBERGER Katharina;AUT;2:22.04;2020_2021;1997-04-01;25.0;Female;Rossignol;Rossignol;Leki;2;13.0;1:08.77;KRANJSKA GORA;SLO;18.0;20.0;3815.0
Giant Slalom;2022-01-08;1230;849;;381;Guillot-patrique Pierre;FRA;45.0;09:30;28.0;31.0;JELINKOVA Adriana;NED;2:20.33;2021_2022;1995-04-10;27.0;Female;Voelkl;Atomic;;1;26.0;1:09.22;KRANJSKA GORA;SLO;3.0;5.0;72.0
Giant Slalom;2021-12-11;2300;1850;;450;Suman Marko;CRO;48.0;09:30;8.0;2.0;FAIVRE Mathieu;FRA;2:14.35;2021_2022;1992-01-18;31.0;Male;Salomon;Salomon;Leki;1;4.0;1:07.99;VAL D'ISERE;FRA;32.0;50.0;4141.0
Giant Slalom;2023-01-07;1730;1310;;420;Kroisleitner Martin;AUT;55.0;13:30;9.0;22.0;KILDE Aleksander Aamodt;NOR;2:33.67;2022_2023;1992-09-21;30.0;Male;Atomic;Atomic;Leki;2;9.0;1:14.93;ADELBODEN;SUI;29.0;29.0;4228.0
Giant Slalom;2020-12-14;2175;1815;;360;Baldissarutti Matteo;SVK;47.0;13:00;;;BRECHE Clarisse;FRA;;2020_2021;;;;;;;2;56.0;;COURCHEVEL;FRA;;;0.0
Giant Slalom;2020-12-07;2070;1730;;340;Garner Ian;USA;45.0;10:00;;48.0;KATO Seigo;JPN;;2020_2021;;;;;;;1;56.0;1:06.92;SANTA CATERINA;ITA;;;0.0
Slalom;2020-12-29;1230;1020;;210;Wicki Denis;SUI;63.0;18:30;4.0;25.0;VLHOVA Petra;SVK;1:43.41;2020_2021;1995-06-13;27.0;Female;Rossignol;Rossignol;;2;7.0;51.43;SEMMERING;AUT;50.0;36.0;1189.0
Giant Slalom;2020-12-05;2070;1730;;340;Krug Helmut;SUI;48.0;13:30;;;SIMARI BIRKNER Cristian Javier;ARG;;2020_2021;1980-10-04;42.0;Male;;;;2;52.0;;SANTA CATERINA;ITA;;;0.0
Slalom;2022-01-09;1033;838;;195;Zoechling Hannes;AUT;62.0;12:30;;;GORNOSTAEVA Anastasia;RUS;;2021_2022;;;;;;;2;56.0;;KRANJSKA GORA;SLO;;;0.0
Slalom;2021-12-29;880;680;;200;Stadler Silvano;SUI;64.0;10:00;;32.0;AICHER Emma;GER;;2021_2022;2003-11-13;19.0;Female;Head;Head;;1;52.0;;LIENZ;AUT;;;794.0
Slalom;2020-12-29;1230;1020;;210;PoljŠak Sergej;SLO;64.0;15:15;12.0;7.0;MAIR Chiara;AUT;1:45.31;2020_2021;1996-08-31;26.0;Female;Voelkl;Dalbello;Leki;1;9.0;52.74;SEMMERING;AUT;22.0;29.0;3815.0
Slalom;2022-03-12;597;396;;201;Poljsak Sergej;SLO;66.0;10:30;19.0;27.0;DANIOTH Aline;SUI;1:47.87;2021_2022;1998-03-12;24.0;Female;Stoeckli;;Leki;1;7.0;51.28;ARE;SWE;12.0;36.0;4758.0
Slalom;2023-01-04;950;768;;182;Mayrhofer Klaus;AUT;60.0;16:30;;;LJUTIC Zrinka;CRO;;2022_2023;2004-01-26;19.0;Female;Rossignol;Rossignol;;2;39.0;;ZAGREB;CRO;;;196.0
Super G;2021-02-06;1308;770;2180.0;538;Ghidoni Alberto;ITA;37.0;11:30;22.0;13.0;WALDER Christian;AUT;1:14.13;2020_2021;1991-08-31;31.0;Male;Salomon;Salomon;;1;22.0;1:14.13;GARMISCH-PARTENKIRCHEN;GER;9.0;9.0;3879.0
Super G;2023-01-28;2210;1560;2200.0;650;Saioni Christophe;FRA;44.0;11:10;38.0;45.0;LEHTO Elian;FIN;1:28.14;2022_2023;2000-06-02;22.0;Male;Fischer;Fischer;Leki;1;38.0;1:28.14;CORTINA D'AMPEZZO;ITA;;;2.0
Slalom;2021-12-12;2043;1845;;198;Masdal Ola;NOR;57.0;09:30;;33.0;MAURBERGER Simon;ITA;;2021_2022;1995-02-20;28.0;Male;Atomic;Atomic;Leki;1;50.0;;VAL D'ISERE;FRA;;;1936.0
Super G;2021-01-30;1308;770;2180.0;538;Scheiber Florian;AUT;39.0;11:00;42.0;49.0;SCHILLINGER Anna;GER;1:20.44;2020_2021;;;;;;;1;42.0;1:20.44;GARMISCH-PARTENKIRCHEN;GER;;;0.0
Giant Slalom;2021-12-21;2175;1815;;360;Kornberger Stefan;AUT;47.0;10:00;2.0;13.0;HECTOR Sara;SWE;2:16.21;2021_2022;1992-09-04;30.0;Female;Head;Head;Leki;1;3.0;1:06.58;COURCHEVEL;FRA;80.0;60.0;593.0
Slalom;2023-01-15;1475;1281;;194;Glasse-davies Tristan;GBR;65.0;10:15;;33.0;RODES Istok;CRO;;2022_2023;1996-01-27;27.0;Male;VOELKL;Dalbello;;1;49.0;;WENGEN;SUI;;;455.0
Slalom;2020-12-22;1733;1550;;183;Del Dio Simone;FRA;61.0;20:45;;;KATO Seigo;JPN;;2020_2021;;;;;;;2;53.0;;MADONNA DI CAMPIGLIO;ITA;;;0.0
Slalom;2022-11-19;438;258;;180;Lenz Markus;GER;63.0;11:00;27.0;20.0;SMART Amelia;CAN;1:55.76;2022_2023;1998-01-08;25.0;Female;Atomic;Atomic;;1;22.0;56.33;LEVI;FIN;4.0;9.0;1025.0
Slalom;2021-01-03;988;768;;220;Haarala Janne;NOR;71.0;12:30;;32.0;NULLMEYER Ali;CAN;;2020_2021;1998-08-21;24.0;Female;Atomic;Atomic;Leki;1;24.0;1:02.57;ZAGREB;CRO;;7.0;437.0
Giant Slalom;2020-12-05;2070;1730;;340;Suman Marko;CRO;48.0;10:30;;52.0;VEISTEN Patrick Haugen;NOR;;2020_2021;;;;;;;1;50.0;1:08.62;SANTA CATERINA;ITA;;;0.0
Slalom;2022-12-29;1230;1020;;210;Racki Goran;CRO;61.0;15:00;1.0;6.0;SHIFFRIN Mikaela;USA;1:43.26;2022_2023;1995-03-13;27.0;Female;Atomic;Atomic;Leki;1;2.0;49.82;SEMMERING;AUT;100.0;80.0;2268.0
Slalom;2023-01-10;1170;960;;210;Haarala Janne;NOR;68.0;20:45;;18.0;DERKS Kiara;NED;;2022_2023;;;;;;;2;54.0;;FLACHAU;AUT;;;0.0
Slalom;2020-12-21;1610;1420;;190;Witteveen Einar;NOR;68.0;10:00;;58.0;VON GRUENIGEN Noel;SUI;;2020_2021;1995-04-17;27.0;Male;Fischer;Fischer;;1;41.0;57.65;ALTA BADIA;ITA;;;4979.0
Super G;2020-12-20;2408;1810;2142.0;598;FÜrbeck Andreas;GER;43.0;11:00;;43.0;SMADJA CLEMENT Karen;FRA;;2020_2021;1999-01-29;24.0;Female;Head;Head;;1;0.0;;VAL D'ISERE;FRA;;;1086.0
Giant Slalom;2022-03-13;1278;846;;432;Husby Anders;NOR;51.0;12:30;14.0;23.0;MURISIER Justin;SUI;2:19.95;2021_2022;1992-01-08;31.0;Male;Head;Head;;2;25.0;1:06.99;KRANJSKA GORA;SLO;18.0;6.0;5329.0
Slalom;2021-03-12;597;396;;201;Lackie Jeff;USA;68.0;16:30;5.0;25.0;DUERR Lena;GER;1:46.83;2020_2021;1991-08-04;31.0;Female;Head;Head;Leki;2;11.0;55.80;ARE;SWE;45.0;24.0;1294.0
Slalom;2023-01-04;950;768;;182;Kienzl Christoph;SUI;61.0;12:30;;12.0;NULLMEYER Ali;CAN;;2022_2023;1998-08-21;24.0;Female;Atomic;Atomic;Leki;1;6.0;50.14;ZAGREB;CRO;;40.0;1025.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;11.0;6.0;FAIVRE Mathieu;FRA;2:06.92;2020_2021;1992-01-18;31.0;Male;Salomon;Salomon;Leki;1;4.0;1:04.12;SOELDEN;AUT;24.0;50.0;4197.0
Super G;2023-03-03;782;182;2170.0;600;Viale Marco;FRA;45.0;10:30;19.0;19.0;LIE Kajsa Vickhoff;NOR;1:27.96;2022_2023;1998-06-20;24.0;Female;Head;Head;;1;19.0;1:27.96;KVITFJELL;NOR;12.0;12.0;1846.0
Giant Slalom;2023-03-11;1278;843;;435;Velez Romain;FRA;51.0;12:30;;;VERDU Joan;AND;;2022_2023;1995-05-23;27.0;Male;Head;Head;;2;52.0;;KRANJSKA GORA;SLO;;;14.0
Slalom;2021-03-06;1450;1250;;200;Agazzi Luca;CAN;64.0;09:30;;40.0;O BRIEN Nina;USA;;2020_2021;1997-11-29;25.0;Female;Rossignol;Rossignol;;1;37.0;55.49;JASNA;SVK;;;1719.0
Giant Slalom;2021-01-26;1580;1206;;374;Martin Jean-noel;FRA;45.0;10:30;;24.0;ROBNIK Tina;SLO;;2020_2021;1991-07-30;31.0;Female;Voelkl;Dalbello;;1;32.0;1:08.38;KRONPLATZ;ITA;;;787.0
Slalom;2021-01-06;988;768;;220;Theolier Jacques;ITA;76.0;12:15;10.0;5.0;YULE Daniel;SUI;2:02.00;2020_2021;1993-02-18;30.0;Male;Fischer;Fischer;Leki;1;9.0;1:00.58;ZAGREB;CRO;26.0;29.0;4979.0
Super G;2022-01-16;1875;1380;1900.0;495;Viale Marco;FRA;36.0;11:30;44.0;41.0;ALPHAND Estelle;SWE;1:14.80;2021_2022;1995-04-23;27.0;Female;Head;Head;Leki;1;44.0;1:14.80;ZAUCHENSEE;AUT;;;593.0
Slalom;2022-12-22;1733;1550;;183;Fuess Robert;AUT;61.0;17:45;;74.0;MUHLEN-SCHULTE Louis;AUS;;2022_2023;;;;;;;1;49.0;52.41;MADONNA DI CAMPIGLIO;ITA;;;0.0
Giant Slalom;2022-03-11;796;396;;400;Fergus Jeff;NZL;58.0;15:00;11.0;10.0;MOWINCKEL Ragnhild;NOR;2:35.67;2021_2022;1992-09-12;30.0;Female;Head;Head;;1;7.0;1:15.84;ARE;SWE;24.0;36.0;1523.0
Giant Slalom;2022-12-10;2400;2044;;356;Poljsak Sergej;SLO;50.0;10:30;14.0;46.0;KAPPAURER Elisabeth;AUT;2:31.85;2022_2023;1994-09-30;28.0;Female;Head;Head;Leki;1;28.0;1:14.98;SESTRIERE;ITA;18.0;3.0;4985.0
Slalom;2020-12-21;1610;1420;;190;Witteveen Einar;NOR;68.0;10:00;;62.0;LAINE Tormis;EST;;2020_2021;2000-08-06;22.0;Male;Kaestle;;;1;52.0;59.09;ALTA BADIA;ITA;;;0.0
Super G;2023-03-05;782;182;2170.0;600;Lackie Jeff;USA;38.0;10:30;5.0;33.0;AICHER Emma;GER;1:30.00;2022_2023;2003-11-13;19.0;Female;Head;Head;;1;5.0;1:30.00;KVITFJELL;NOR;45.0;45.0;1071.0
Slalom;2021-01-10;1513;1302;;211;Omminger Andreas;GER;67.0;10:30;;39.0;LIBERATORE Federico;ITA;;2020_2021;1995-08-28;27.0;Male;Salomon;Salomon;Leki;1;42.0;55.96;ADELBODEN;SUI;;;2205.0
Slalom;2022-12-11;2250;2044;;206;Day Mike;USA;67.0;13:30;16.0;13.0;STOFFEL Elena;SUI;1:59.64;2022_2023;1996-05-27;26.0;Female;Dynastar;Lange;;2;9.0;58.32;SESTRIERE;ITA;15.0;29.0;4705.0
Slalom;2023-01-22;1004;811;;193;Joris Matteo;SUI;61.0;13:30;;;POHJOLAINEN Jesper;FIN;;2022_2023;;;;;;;2;30.0;;KITZBUEHEL;AUT;;1.0;0.0
Slalom;2021-01-12;1160;960;;200;Thoma Christian;SWE;69.0;20:45;23.0;14.0;SLOKAR Andreja;SLO;1:51.83;2020_2021;1997-10-15;25.0;Female;Nordica;Nordica;;2;24.0;55.51;FLACHAU;AUT;8.0;7.0;787.0
Super G;2023-01-13;2025;1287;2950.0;738;Galli Lorenzo;ITA;52.0;12:00;32.0;25.0;PHILP Trevor;CAN;1:51.16;2022_2023;1992-05-01;30.0;Male;Rossignol;Rossignol;;1;32.0;1:51.16;WENGEN;SUI;;;1184.0
Giant Slalom;2021-10-24;3040;2670;;370;Brunner Bernd;GER;48.0;10:00;;49.0;GILE Bridger;USA;;2021_2022;1999-10-15;23.0;Male;Head;Head;;1;93.0;1:06.89;SOELDEN;AUT;;;1151.0
Slalom;2022-02-26;942;735;;207;Suman Marko;CRO;69.0;09:30;;29.0;MAURBERGER Simon;ITA;;2021_2022;1995-02-20;28.0;Male;Atomic;Atomic;Leki;1;52.0;;GARMISCH-PARTENKIRCHEN;GER;;;1936.0
Giant Slalom;2021-12-19;1868;1420;;448;Bergant Klemen;SLO;54.0;10:00;;45.0;KATO Seigo;JPN;;2021_2022;;;;;;;1;53.0;;ALTA BADIA;ITA;;;0.0
Slalom;2023-01-24;958;744;;214;Komarov Sergey;CRO;64.0;17:45;;59.0;SEYMOUR Jett;USA;;2022_2023;1998-11-05;24.0;Male;Fischer;Fischer;;1;39.0;58.65;SCHLADMING;AUT;;;1376.0
Giant Slalom;2021-12-28;1008;680;;328;Poljsak Sergej;SLO;44.0;13:00;2.0;27.0;VLHOVA Petra;SVK;2:04.18;2021_2022;1995-06-13;27.0;Female;Rossignol;Rossignol;;2;3.0;1:00.56;LIENZ;AUT;80.0;60.0;1416.0
Giant Slalom;2021-10-24;3040;2670;;370;Krug Helmuth;SUI;46.0;13:30;28.0;;ZAMPA Adam;SVK;2:08.26;2020_2021;1990-09-13;32.0;Male;Salomon;Salomon;;2;50.0;1:02.60;SOELDEN;AUT;3.0;;26.0
Slalom;2023-01-29;944;757;;187;Lenz Markus;GER;57.0;12:15;;;SOMMEROVA Celine;CZE;;2022_2023;;;;;;;2;49.0;;SPINDLERUV MLYN;CZE;;;0.0
Giant Slalom;2023-01-24;1580;1206;;374;Day Mike;USA;45.0;10:30;;55.0;PICHLER Karoline;ITA;;2022_2023;1994-10-30;28.0;Female;Head;Head;Leki;1;38.0;1:03.12;KRONPLATZ;ITA;;;3911.0
Super G;2021-02-28;2395;1880;1750.0;515;Rodseth Thomas;NOR;39.0;11:00;;21.0;SCHNEEBERGER Rosina;AUT;;2020_2021;;;;;;;1;0.0;;VAL DI FASSA;ITA;;;0.0
Giant Slalom;2021-12-21;2175;1815;;360;Orlowski Marcin;POL;47.0;13:00;29.0;2.0;LOEVBLOM Hilma;SWE;2:20.89;2021_2022;2000-08-16;22.0;Female;Head;Head;;2;19.0;1:11.09;COURCHEVEL;FRA;2.0;12.0;593.0
Giant Slalom;2020-10-17;3040;2670;;370;Gfeller Tim;NOR;47.0;10:00;3.0;3.0;VLHOVA Petra;SVK;2:20.82;2020_2021;1995-06-13;27.0;Female;Rossignol;Rossignol;;1;10.0;1:11.56;SOELDEN;AUT;60.0;26.0;1189.0
Giant Slalom;2021-12-22;2175;1815;;360;Prenn Luis;SUI;46.0;10:00;;38.0;STJERNESUND Thea Louise;NOR;;2021_2022;1996-11-24;26.0;Female;Rossignol;Rossignol;;1;31.0;1:10.35;COURCHEVEL;FRA;;;1523.0
Slalom;2022-03-09;1160;960;;200;Ominger Andreas;GER;68.0;17:45;;40.0;LIBERATORE Federico;ITA;;2021_2022;1995-08-28;27.0;Male;Salomon;Salomon;Leki;1;53.0;;FLACHAU;AUT;;;1936.0
Slalom;2021-01-30;1165;985;;180;Schwarzacher Paul;AUT;66.0;09:30;;64.0;ALKIER Justin;CAN;;2020_2021;;;;;;;1;63.0;;CHAMONIX;FRA;;;0.0
Giant Slalom;2021-03-13;1278;846;;432;Courtney Will;USA;50.0;09:30;;52.0;DORNER Thomas;AUT;;2020_2021;1998-07-22;24.0;Male;Atomic;Atomic;;1;48.0;1:09.70;KRANJSKA GORA;SLO;;;3879.0
Slalom;2022-01-09;1513;1302;;211;Kroisleitner Martin;AUT;68.0;13:30;3.0;16.0;STRASSER Linus;GER;1:50.34;2021_2022;1992-11-06;30.0;Male;Rossignol;Rossignol;Leki;2;2.0;55.66;ADELBODEN;SUI;60.0;80.0;1867.0
Giant Slalom;2022-03-12;1278;846;;432;Krug Helmut;SUI;51.0;09:30;1.0;1.0;KRISTOFFERSEN Henrik;NOR;2:18.28;2021_2022;1994-07-02;28.0;Male;Van Deer;;;1;5.0;1:09.82;KRANJSKA GORA;SLO;100.0;45.0;3068.0
Slalom;2022-12-11;2250;2044;;206;Harzl Georg;AUT;68.0;10:30;8.0;1.0;DUERR Lena;GER;1:57.57;2022_2023;1991-08-04;31.0;Female;Head;Head;Leki;1;41.0;59.00;SESTRIERE;ITA;32.0;;1071.0
Slalom;2021-01-26;958;744;;214;Davidson Johnny;NOR;62.0;17:45;;61.0;EFIMOV Simon;RUS;;2020_2021;;;;;;;1;58.0;;SCHLADMING;AUT;;;0.0
Slalom;2021-12-12;2043;1845;;198;Meynet Thierry;SUI;58.0;13:00;;;MUFFAT-JEANDET Victor;FRA;;2021_2022;;;;;;;2;68.0;;VAL D'ISERE;FRA;;;0.0
Giant Slalom;2022-01-08;1730;1310;;420;Girardi Walter;ITA;53.0;10:30;;53.0;KRYZL Krystof;CZE;;2021_2022;1986-10-12;36.0;Male;Atomic;Atomic;Leki;1;53.0;;ADELBODEN;SUI;;;0.0
Slalom;2022-01-22;1004;811;;193;Hladnik Jani;RUS;63.0;10:15;;68.0;SIMARI BIRKNER Cristian Javier;ARG;;2021_2022;1980-10-04;42.0;Male;;;;1;66.0;;KITZBUEHEL;AUT;;;0.0
Super G;2020-12-29;1886;1245;2129.0;641;Evers Andy;GER;46.0;11:30;8.0;22.0;KRYENBUEHL Urs;SUI;1:30.91;2020_2021;;;;;;;1;8.0;1:30.91;BORMIO;ITA;32.0;32.0;0.0
Slalom;2023-01-28;944;757;;187;Poljsak Sergej;SLO;58.0;12:30;23.0;2.0;ANDO Asa;JPN;1:37.23;2022_2023;1996-04-24;26.0;Female;Atomic;Atomic;;2;10.0;46.35;SPINDLERUV MLYN;CZE;8.0;26.0;11.0
